CSCv2_name,CSCv2_RA,CSCv2_DEC,CSCv2_PU,CSCv2_S/N,Fs,e_Fs,Fm,e_Fm,Fh,e_Fh,Fb,e_Fb,P_intra,P_inter,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,Plx,e_Plx,PM,rgeo,b_rgeo,B_rgeo,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_LMXB,e_P_NS,e_P_YSO,Class,Class_prob,e_Class_prob,CT,CSCv2_flags,Catalog_name,True_Class,Class_ref
2CXO J000009.3+135618,0.0391148,13.9384931,0.79,1.95,2e-15,1e-15,5e-16,5e-16,2e-15,2e-15,4e-15,2e-15,0.923,,18.494,0.003,18.77,0.02,18.02,0.01,,,,,,,15.49,0.04,14.61,0.06,10.8,0.1,-0.2,0.2,0.2,5342.0,3365.0,12735.0,0.9,0.01,0.01,0.0,0.03,0.004,0.001,0.03,0.1,0.02,0.01,0.001,0.04,0.009,0.004,0.05,AGN,0.9,0.1,5.307,,SDSS J00001+1356,AGN,2010A&A...518A..10V
2CXO J000230.7+004959,0.6279737,0.8330717,0.72,11.07,5.7e-14,7e-15,2.9e-14,5e-15,6e-14,1e-14,1.4e-13,2e-14,0.318,,17.834,0.003,18.13,0.01,17.34,0.01,16.9,0.1,16.21,,15.53,,14.5,0.03,13.18,0.03,10.24,0.09,0.3,0.2,0.202,2676.0,1936.0,4580.0,0.999,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.003,0.0,0.0,0.001,0.0006,0.0003,0.0004,AGN,0.999,0.004,145.799,,PB 5698,AGN,2010A&A...518A..10V
2CXO J000622.6-000424,1.5943245,-0.073573,0.78,25.42,1.5e-13,1e-14,1.17e-13,8e-15,4e-13,3e-14,6.7e-13,3e-14,0.076,,20.04,0.01,20.16,0.07,19.43,0.07,,,,,,,15.3,0.04,14.24,0.05,11.2,0.2,0.0,0.7,0.034,1964.0,1240.0,2743.0,0.97,0.02,0.0,0.0,0.0,0.005,0.002,0.0001,0.02,0.02,0.002,0.0004,0.0006,0.008,0.005,0.0009,AGN,0.97,0.02,20.82,extent,3C   2.0,AGN,2010A&A...518A..10V
2CXO J000659.2-001740,1.7470514,-0.294661,0.84,4.11,1.1e-14,4e-15,6e-15,3e-15,1.4e-14,8e-15,3.1e-14,9e-15,0.618,,19.239,0.006,19.32,0.04,18.87,0.05,,,,,,,16.55,0.04,15.65,0.06,,,-1.0,0.4,0.389,3304.0,2273.0,5594.0,0.95,0.04,0.0,0.0,0.002,0.01,0.001,0.002,0.06,0.05,0.001,0.001,0.006,0.01,0.003,0.007,AGN,0.95,0.06,8.318,,SDSS J00069-0017,AGN,2010A&A...518A..10V
2CXO J000703.6+155423,1.7650067,15.9065748,0.72,8.63,5e-15,3e-15,1.6e-14,6e-15,5.4e-13,7e-14,5.6e-13,7e-14,0.135,,18.497,0.008,18.36,0.03,16.73,0.01,15.26,0.05,14.28,0.05,13.16,0.04,11.61,0.02,10.59,0.02,7.68,0.02,0.2,0.2,0.583,3716.0,1965.0,5149.0,0.99,0.001,0.0001,0.004,0.0,0.0,0.0,0.006,0.01,0.003,0.001,0.007,0.0006,0.002,0.0004,0.009,AGN,0.99,0.01,47.057,,2MASS J00070+1554,AGN,2010A&A...518A..10V
2CXO J000856.7+155045,2.23666,15.8460416,0.9,4.89,1.4e-14,4e-15,1.2e-14,4e-15,1.1e-14,7e-15,3.7e-14,9e-15,0.103,,19.091,0.007,19.35,0.04,18.65,0.03,,,,,,,15.43,0.04,14.22,0.05,11.3,0.2,0.7,0.3,0.363,1441.0,1054.0,2006.0,0.998,0.001,0.0,0.0,0.0,0.0,0.0,0.0001,0.006,0.004,0.0,0.0,0.002,0.003,0.001,0.001,AGN,0.998,0.006,98.81,,SDSS J00089+1550,AGN,2010A&A...518A..10V
2CXO J001306.1+000431,3.275673,0.0755139,0.75,3.65,5e-15,2e-15,4e-15,2e-15,1.4e-14,9e-15,2.3e-14,9e-15,0.247,,18.453,0.004,18.64,0.02,18.04,0.02,17.3,0.2,16.2,0.2,15.9,0.3,15.34,0.04,14.24,0.05,11.0,0.1,-0.0,0.2,0.314,3691.0,2779.0,4912.0,0.99,0.004,0.0,0.001,0.001,0.002,0.0,0.01,0.03,0.008,0.001,0.003,0.004,0.005,0.001,0.02,AGN,0.99,0.03,23.846,,Q 0010-002B,AGN,2010A&A...518A..10V
2CXO J001837.3+163446,4.6556088,16.579446,0.82,9.54,5.2e-15,9e-16,3.2e-15,6e-16,6e-15,2e-15,1.4e-14,2e-15,0.52,,19.885,0.01,20.1,0.1,19.33,0.06,,,,,,,16.33,0.07,15.8,0.2,12.0,,0.1,0.5,0.525,2374.0,1570.0,3513.0,0.9,0.09,0.0,0.0,0.003,0.04,0.001,0.005,0.1,0.1,0.002,0.0003,0.006,0.05,0.003,0.008,AGN,0.9,0.1,3.261,,CXOMP J00186+1634,AGN,2010A&A...518A..10V
2CXO J001854.8+162952,4.7286677,16.4978539,0.98,6.55,2.1e-15,5e-16,1.5e-15,4e-16,5e-15,1e-15,8e-15,2e-15,0.565,,,,,,,,,,,,,,17.66,0.09,17.0,0.2,,,,,,,,,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.003,0.0003,0.0,0.01,0.03,0.01,0.002,AGN,0.99,0.04,14.838,,CXOMP J00189+1629,AGN,2010A&A...518A..10V
2CXO J002025.2+154054,5.1050842,15.681834,0.71,23.67,4.7e-14,3e-15,4.4e-14,3e-15,1.8e-13,1e-14,2.7e-13,2e-14,0.73,,17.786,0.004,18.07,0.02,17.23,0.01,16.17,0.08,15.6,0.1,14.73,0.1,14.02,0.03,13.0,0.03,10.16,0.07,-0.3,0.1,0.124,8648.0,5834.0,13085.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.0003,0.0,0.001,0.0,0.0006,AGN,1.0,0.002,269.438,conf,3C   9.0,AGN,2010A&A...518A..10V
